index, chain length
0,7
1,12
2,9
3,7
4,18
5,8
6,13
7,11
8,8
9,11
10,13
11,10
12,19
13,13
14,15
15,19
16,29
17,27
18,26
19,13
20,19
21,26
22,24
23,20
24,15
25,25
26,24
27,32
28,16
29,26
30,24
31,32
32,31
33,30
34,13
35,29
36,34
37,28
38,27
39,25
40,32
41,16
42,20
43,19
44,23
45,23
46,27
47,14
48,17
49,26
50,11
51,18
52,21
53,18
54,21
55,15
56,13
57,18
58,16
59,10
60,7
61,7
62,6
63,9
64,11
65,6
66,3
67,8
68,8
69,8
70,7
71,3
72,1
73,8
74,4
75,4
76,5
77,7
78,10
79,5
80,11
81,8
82,5
83,7
84,8
85,4
86,6
87,4
88,9
89,16
90,8
91,9
92,7
93,9
94,5
95,8
96,2
97,6
98,13
99,14
